SHOP_ID,DATE,N_TRANS
15,18/02/21,1293
68,5/04/21,1883
60,24/09/21,221
94,23/07/22,12
16,6/09/21,448
19,10/06/21,102
16,22/04/21,711
100,1/03/21,1945
10,18/08/21,201
68,20/07/22,1443
20,13/10/21,1245
100,4/01/21,1812
100,10/06/21,2286
10,23/05/21,334
68,6/08/22,1732
20,20/01/21,1224
31,14/11/22,38
16,14/01/21,779
53,30/07/22,293
98,10/10/21,145
86,10/05/21,1752
68,3/11/22,1588
34,20/07/21,280
68,2/11/21,1176
86,24/01/21,1821
10,3/04/21,292
34,10/05/21,268
12,20/04/21,65
41,8/12/21,361
16,5/06/22,558
41,24/05/22,174
4,3/09/22,26
100,18/06/22,1621
16,06-18-2022,655
8,04-16-2021,49
15,10/10/21,1195
15,09-24-2022,1539
16,10-28-2022,715
11,08-29-2022,74
3,5/05/21,29
15,10/09/21,1296
100,05-29-2022,1449
10,11/11/21,308
38,8/01/22,1152
21,03-19-2021,455
86,07-26-2022,1902
16,12-16-2022,761
26,07-15-2022,126
38,03-31-2022,358
41,02-17-2021,280
35,9/11/22,30
15,11-14-2022,1385
16,3/12/21,658
32,4/02/22,28
100,02-25-2021,2337
15,07-28-2021,1324
34,12-18-2022,244
68,08-31-2021,1070
21,04-22-2022,399
48,2/10/21,53
68,13/02/22,1197
98,5/08/22,481
21,20/11/22,322
15,7/10/21,1214
12,23/02/22,64
40,19/01/22,196
68,9/05/21,1953
100,17/08/21,2812
86,18/02/22,1455
16,7/11/21,497
62,4/02/22,13
15,17/07/22,1189
10,28/09/22,429
46,26/01/22,35
62,10/08/22,17
86,13/01/21,1608
59,5/10/21,49
68,22/12/22,1975
21,2/07/21,405
21,5/03/22,357
53,23/03/21,125
99,10/02/21,10
23,16/03/21,34
15,26/10/22,1576
38,3/01/22,1191
20,5/07/21,1163
97,13/02/22,63
2,7/02/21,487
10,21/09/22,485
21,6/08/22,301
57,7/04/21,467
97,13/09/22,86
34,27/10/21,279
19,30/01/21,306
20,23/09/21,1169
47,22/12/22,324
2,30/06/21,852
86,20/10/22,1749
45,27/05/21,78
98,27/07/21,160
34,19/08/22,243
47,29/05/22,204
20,28/03/22,860
10,28/06/21,224
16,27/08/21,649
38,10/05/21,692
18,5/01/22,270
16,13/02/21,778
2,2/04/21,799
40,17/08/21,162
98,10/06/22,460
41,18/01/22,173
2,1/01/22,571
2,31/03/22,619
89,8/01/21,5
45,9/07/21,104
72,1/03/22,18
44,13/07/21,12
38,4/07/22,631
41,6/03/22,159
45,13/10/22,87
12,1/07/21,75
100,27/08/21,790
57,21/01/21,389
10,16/03/22,435
12,25/11/21,102
20,15/01/22,1017
11,25/10/21,93
53,8/01/22,186
18,23/02/22,88
36,8/11/21,3
47,20/01/21,166
1,11/05/22,33
3,30/11/22,23
34,14/05/22,243
89,28/02/22,5
41,31/05/21,170
98,27/08/22,565
27,16/10/21,106
40,27/03/22,46
44,15/02/22,17
79,19/01/21,43
21,11/12/21,368
50,3/07/21,35
96,9/03/21,145
41,26/05/21,397
38,1/09/21,842
15,15/10/22,1449
85,14/05/21,209
50,5/04/21,32
2,12/11/22,630
3,4/04/21,18
32,12/11/22,79
3,23/02/21,22
35,5/01/22,29
74,2/02/21,39
35,14/04/21,25
36,29/01/21,35
16,5/04/22,686
15,20/09/21,1017
83,17/11/22,8
16,25/02/22,568
96,6/07/21,299
53,19/03/21,225
26,26/03/22,36
7,29/07/21,44
60,20/03/22,104
16,9/02/22,610
96,17/07/21,361
98,11/10/22,196
85,22/01/22,216
21,7/11/21,336
74,24/03/21,49
47,2/12/22,175
71,14/04/21,8
85,27/04/21,94
16,11/08/21,787
27,27/01/21,29
73,13/01/22,5
1,20/08/22,52
28,7/05/21,11
76,18/09/21,44
77,12/08/21,24
40,7/05/21,173
60,26/08/22,208
73,31/03/21,8
45,30/07/21,115
41,23/10/21,196
7,18/12/21,134
58,21/07/21,16
11,20/10/22,86
44,15/03/21,10
2,18/07/21,509
16,20/05/22,634
63,30/03/21,18
88,7/10/22,119
45,12/11/22,74
40,12/11/21,153
97,5/09/22,45
27,24/04/21,33
10,17/10/22,281
77,2/01/21,30
31,7/07/21,12
19,12/04/22,162
47,3/08/21,116
77,18/11/22,44
18,11/10/21,54
53,7/06/21,378
23,30/09/22,93
95,15/05/21,6
96,1/08/22,60
40,22/02/21,90
3,29/10/22,30
60,24/08/22,230
98,17/05/22,189
42,7/07/21,13
31,11/04/22,3
51,24/01/21,38
29,8/03/22,17
45,17/05/22,65
3,16/07/21,88
60,16/01/21,138
35,29/03/21,30
19,4/10/22,108
76,13/09/22,57
77,9/08/21,11
76,23/04/21,76
62,1/03/22,21
46,31/05/21,27
47,7/09/22,161
21,13/02/22,270
85,19/06/21,161
46,27/10/22,43
89,13/09/21,3
30,11/08/21,39
35,18/07/22,31
76,23/05/21,40
8,20/03/21,60
47,21/10/22,201
98,2/05/22,145
84,6/08/22,43
51,14/10/21,51
59,5/02/21,75
50,4/02/22,21
18,12/05/22,92
47,30/11/21,167
32,1/05/21,45
66,19/11/21,8
95,23/08/21,1
9,5/06/22,10
40,26/04/22,138
30,18/07/21,8
51,16/10/21,67
1,9/02/21,28
44,3/10/21,9
63,19/04/21,14
12,2/03/22,53
11,4/05/22,91
19,19/07/21,82
3,10/10/21,35
19,17/08/21,141
26,8/07/21,67
82,4/07/22,29
77,30/08/22,24
32,22/09/21,51
45,10/03/22,78
97,30/09/22,83
97,23/02/22,92
43,27/11/21,1
82,4/01/21,27
12,26/07/21,86
1,10/01/22,63
3,5/08/21,44
72,26/03/21,26
40,24/01/21,70
35,10/12/22,33
44,16/01/22,89
8,2/05/22,28
1,10/09/21,54
32,26/04/22,31
77,15/06/21,9
51,21/11/21,32
30,3/08/21,19
11,6/05/22,122
21,26/04/22,381
45,8/04/21,74
76,4/11/21,66
96,30/06/21,107
45,16/03/22,85
50,2/01/22,20
37,9/08/22,7
76,7/01/21,76
84,13/12/22,16
45,13/05/22,119
3,26/02/21,62
7,15/03/21,54
26,29/11/22,148
72,5/08/21,27
97,17/07/22,55
5,28/01/21,23
46,15/04/21,25
12,10/05/22,52
1,29/01/22,123
56,26/12/21,40
57,25/04/21,269
97,20/10/22,108
3,12/08/22,63
27,2/04/22,22
19,16/01/22,60
60,30/11/21,235
76,4/05/22,65
18,16/08/22,37
23,3/06/21,42
28,26/04/21,2
7,14/12/21,33
52,23/04/22,85
18,11/11/21,72
76,1/03/21,71
92,22/11/21,120
50,14/03/21,31
31,17/05/21,9
11,8/02/21,78
54,29/12/21,34
40,15/11/21,59
96,23/01/22,178
88,20/02/21,53
40,4/03/22,140
41,2/09/21,19
83,1/05/22,13
12,21/05/21,48
49,15/10/22,4
46,29/06/22,30
7,22/02/22,73
59,19/02/21,64
26,24/02/21,62
49,19/02/21,30
10,20/05/22,312
82,28/12/21,30
59,14/12/22,67
50,27/06/21,35
76,2/08/22,44
62,13/05/21,23
88,12/10/21,48
82,2/03/22,28
2,27/11/22,464
28,25/05/22,5
56,2/05/21,14
40,29/01/21,134
39,19/04/21,2
79,15/03/21,31
38,20/09/21,26
23,10/08/22,87
36,26/12/22,12
50,28/01/21,27
47,13/03/21,248
95,12/04/22,6
81,21/09/22,12
35,29/10/21,50
29,14/04/21,36
35,15/02/21,21
78,21/08/22,20
41,18/09/21,29
87,21/02/22,3
53,30/11/22,161
98,1/01/22,150
8,20/01/22,24
59,9/08/22,59
45,16/01/22,46
96,28/03/22,106
35,8/12/22,23
73,23/07/22,17
82,21/01/22,52
77,28/06/22,15
82,13/01/22,54
37,30/12/21,13
50,3/07/22,20
12,21/04/21,73
48,17/02/21,33
59,21/07/21,72
88,9/07/21,57
3,13/05/21,47
83,7/01/22,27
53,26/04/22,177
46,15/07/21,30
54,4/04/21,5
11,8/08/21,76
31,5/01/22,3
85,4/03/22,204
49,31/01/22,7
45,25/06/21,124
1,10/04/21,34
8,23/10/22,67
3,10/03/22,16
12,31/08/22,62
90,8/10/22,18
26,19/12/21,24
51,4/09/22,55
78,7/11/22,19
74,8/02/21,24
30,18/04/21,3
95,25/05/22,11
18,14/02/22,60
1,9/06/22,38
90,10/03/21,9
26,25/05/21,46
88,18/08/22,70
58,21/03/21,5
37,29/09/22,2
67,12/02/21,34
84,23/08/22,14
74,14/08/22,7
90,8/07/22,14
41,19/06/22,178
81,25/03/22,10
50,24/04/22,14
28,9/09/21,7
50,20/06/21,45
59,5/12/22,62
88,25/05/21,46
12,7/04/22,51
90,22/07/22,16
50,30/05/21,24
60,21/08/22,109
82,27/10/21,42
51,12/07/22,32
77,31/03/22,27
56,3/03/21,11
76,8/08/21,21
3,2/11/21,22
5,11/12/22,38
94,24/02/21,6
31,24/10/22,36
59,26/06/21,29
1,17/10/22,76
30,9/07/22,53
27,3/04/21,22
3,17/11/21,21
88,26/06/21,50
17,26/11/21,9
17,23/09/21,5
42,26/06/21,33
90,18/02/22,13
29,14/10/21,35
42,13/09/21,11
8,11/06/21,39
59,29/03/21,54
77,29/01/21,29
62,14/05/22,17
76,12/01/22,64
90,4/06/21,23
88,19/12/22,71
8,18/08/22,26
23,6/03/22,40
27,8/07/21,11
